epoch,train_loss,best_threshold,roc_auc,pr_auc,f1,precision,recall
1,0.7730601249407731,0.8000000000000003,0.9047322914776367,0.7208505312268771,0.7105702797598822,0.6474830353226514,0.787278431372549
2,0.5434666559252359,0.7500000000000002,0.9333601237677817,0.783317317615722,0.7635588941226923,0.6829120423641785,0.8658039215686274
3,0.4683610733540413,0.7500000000000002,0.9434539602511853,0.8051983962223276,0.7855602998650886,0.7055891465120927,0.8859764705882353
4,0.42746608237329237,0.8000000000000003,0.948078296204024,0.8160450927955761,0.7975805376427083,0.7215753989918868,0.8914823529411765
5,0.4007637513815738,0.8000000000000003,0.9523426675483787,0.8273404907630605,0.8092914252234615,0.7431469550041335,0.8883607843137254
6,0.380155201104603,0.8000000000000003,0.9553486891913368,0.834814986948255,0.8175405038076815,0.7547901368989922,0.8916705882352941
7,0.36503339485726144,0.7500000000000002,0.9580814861155964,0.842810220333266,0.8250039323352352,0.7579878080824005,0.9050196078431373
8,0.351743236655595,0.8000000000000003,0.95933825861848,0.8452381881526619,0.8293817971600969,0.7689019896831245,0.9001882352941176
9,0.34134761891150556,0.8000000000000003,0.9608709347686788,0.8489187558763733,0.8345789951181578,0.771362402172177,0.9090823529411765
10,0.3320622095891761,0.8000000000000003,0.9618645755734975,0.8514121577486721,0.8362637682001802,0.7789026337871857,0.9027450980392157
